nom;reference;categorie;fournisseur;stock;seuil_alerte;prix_achat;prix_vente;tva;date_expiration;description
Adrenaline 1mg/mL injectable;;;;;10; 225,00 ; 700,00 ;;;
Albendazole 400 mg comprimé;;;;;10; 198,00 ; 350,00 ;;;
Alcool 95%  100ml;;;;;10; 435,00 ; 500,00 ;;;
Aminophylline 25mg/ml injectable;;;;;10; 102,00 ; 300,00 ;;;
Aclav 1g/125g sachat;;;;;10; 3 400,00 ; 4 000,00 ;;;
Amoxicilline + Acide clavulanique  1200 mg injectable (CLAVICIN);;;;;10; -   ; 2 000,00 ;;;
Amoxicilline 250mg/5ml 100 ml sirop;;;;;10; 726,00 ; 1 150,00 ;;;
Amoxicilline 500 mg comprimé;;;;;10; 34,20 ; 45,00 ;;;
Amoxicilline 500 mg géllule;;;;;10; 28,00 ; 45,00 ;;;
Ampicilline 1g injectable;;;;;10; 171,60 ; 250,00 ;;;
Antitoxine tétanique 1500 UI injectable;;;;;10; 800,00 ; 1 150,00 ;;;
Artemether + Lumefantrine 180/1080 mg suspension;;;;;10; 1 700,00 ; 2 500,00 ;;;
Artemether + Lumfantrine 80/480mg comprimé (COMBIART);;;;;10; 1 731,00 ; 2 000,00 ;;;
Artemether 80 mg injectable;;;;;10; 508,48 ; 600,00 ;;;
Artesunate 60 mg injectable;;;;;10; 600,00 ; 1 000,00 ;;;
Atropine Sulf 1 mg injectable;;;;;10; 230,00 ; 400,00 ;;;
Azithromycine 200mg/5mL sirop;;;;;10; 869,56 ; 1 000,00 ;;;
Azithromycine 500 mg comprimé;;;;;10; 1 650,00 ; 2 200,00 ;;;
Benzathinepéni 2,4 MUI injectable;;;;;10; 356,40 ; 410,00 ;;;
Benzylpénicilline 5 MUI injectable;;;;;10; 200,00 ; 425,00 ;;;
Bupivacaine 5mg/ml injectable;;;;;10; 4 776,00 ; -   ;;;
Carbamazépine 200mg comprimé;;;;;10; 25,00 ; 70,00 ;;;
Carbocistéine 5 % adulte 100 ml sirop;;;;;10; 759,00 ; 925,00 ;;;
Carbocistéine sirop 2 % enft 100 ml sirop;;;;;10; 545,44 ; 650,00 ;;;
Carnet de recus;;;;;10; 1 652,40 ; -   ;;;
Cefixime 200 mg cp;;;;;10; 3 500,00 ; 4 500,00 ;;;
Ceftriaxone 1 g injectable;;;;;10; 330,00 ; 700,00 ;;;
Chlorhexidine gluconate 5% 1000mL;;;;;10; 3 000,00 ; 5 000,00 ;;;
Chlorhexidine gluconate 5% 500mL;;;;;10; 1 500,00 ; 3 000,00 ;;;
Chlorhydrate deTramadol  100 mg injectable;;;;;10; 450,00 ; 700,00 ;;;
Chlorphéniramine 4 mg comprimé;;;;;10; 10,00 ; 15,00 ;;;
Chlorure de potassium 10 ml injectable;;;;;10; 150,00 ; 250,00 ;;;
Chlorure de Sodium 10 % 10 ml injectable;;;;;10; 100,00 ; 200,00 ;;;
Ciprofloxacine 500 mg comprimé;;;;;10; 67,86 ; 80,00 ;;;
Ciprofloxacine100mg/50 ml perfusion;;;;;10; 900,00 ; 1 500,00 ;;;
Clotrimazole 500 mg ovule (MYCORIL);;;;;10; -   ; 4 500,00 ;;;
Cloxacilline 500 mg injectable;;;;;10; 304,00 ; 350,00 ;;;
Cloxacilline 500 mg sous gélule;;;;;10; 52,00 ; 60,00 ;;;
Dexamethasone 0,5 mg;;;;;10; 5,00 ; 25,00 ;;;
Dexamethasone 4mg/ml injectable;;;;;10; 81,44 ; 100,00 ;;;
Diazépam 10 mg injectable;;;;;10; 396,00 ; 500,00 ;;;
Diclofenac75 inj ;;;;;10; 62,30 ; 100,00 ;;;
Diclofénac 50 mg comprimé gastro-resistant;;;;;10; 7,00 ; 10,00 ;;;
Dopamine 200mg/5ml solution à diluer pour perfusion;;;;;10; 936,00 ; -   ;;;
Dossier médical;;;;;10; 700,00 ; 1 000,00 ;;;
Doxycycline 100 mg comprimé;;;;;10; 27,00 ; 40,00 ;;;
Eau oxygénée solution à usage externe;;;;;10; 1 425,60 ; 1 650,00 ;;;
